rank,trend_name,instagram_hashtag
1,10-Minute Egg & Rice Meals,"#10minmeals,#quickrice,#eggrecipes,#fastcooking"
2,High-Protein Chicken & Egg Dishes,"#highproteinmeals,#chickenrecipes,#eggdishes,#mealprepideas"
3,One-Pan Skillet Pasta & Rice,"#onepanmeals,#skilletdinner,#easycleanup,#weeknightdinner"
4,Air Fryer Chicken & Potatoes,"#airfryerrecipes,#airfryerchicken,#crispyfood,#easymeals"
5,Spicy Noodle & Rice Dishes,"#spicyfoodlover,#chilinoodles,#spicyrice,#heatlover"
6,Fridge Clean-Out Fried Rice & Stir-Fry,"#fridgechallenge,#friedrice,#stirfryideas,#leftoverrecipes"
7,Street Food Rice Bowls at Home,"#streetfoodathome,#ricebowl,#homecooking,#foodathome"
8,Minimal-Ingredient Egg Dishes,"#simplecooking,#3ingredientrecipes,#eggrecipes,#quickmeals"
9,Healthy Grain & Protein Bowls,"#healthybowl,#balancedmeals,#grainbowl,#cleaneating"
10,Midnight Egg & Noodle Snacks,"#midnightsnacks,#latenightfood,#quickbites,#comfortsnack"